bhk,type,locality,area,price,price_unit,region,status,age,price _INR,Rent_price
2,Apartment,Platinum Avior,1125,87.5,L,Kalamboli,Ready to move,Resale,8750000,7291.666667
3,Apartment,Hiranandani Meadows,2000,2.81,Cr,Thane West,Ready to move,Unknown,28100000,23416.66667
2,Apartment,Pratik Swarna,995,85,L,Mira Road East,Ready to move,Resale,8500000,7083.333333
1,Apartment,Shree Adinath Symphony,600,18.5,L,Boisar,Ready to move,New,1850000,1541.666667
1,Apartment,PNK Imperial Heights,710,60,L,Mira Road East,Ready to move,New,6000000,5000
3,Apartment,Raymond Codename West One Park,1500,2.01,Cr,Thane West,Under Construction,Unknown,20100000,16750
3,Apartment,Godrej The Trees,1319,5.32,Cr,Vikhroli,Under Construction,New,53200000,44333.33333
3,Apartment,Paradigm 71 Midtown,810,1.75,Cr,Chembur,Under Construction,New,17500000,14583.33333
1,Apartment,Yash Dahisar Shivangan Wing A,696,80,L,Dahisar,Under Construction,New,8000000,6666.666667
1,Apartment,Yash Dahisar Shivangan,423,85,L,Dahisar,Under Construction,New,8500000,7083.333333
2,Apartment,Prestige Jasdan Classic,883,3.69,Cr,Byculla,Under Construction,New,36900000,30750
1,Apartment,Lodha Amara Tower 26 27 28 30 34 35,637,96,L,Thane West,Under Construction,New,9600000,8000
4,Apartment,Vora Centrico,1504,3,Cr,Malad West,Under Construction,New,30000000,25000
2,Apartment,Ajmera Bhakti Park,950,1.83,Cr,Wadala,Ready to move,Resale,18300000,15250
3,Apartment,Jyoti Sukriti,1375,2.65,Cr,Goregaon East,Under Construction,New,26500000,22083.33333
2,Apartment,Khandelwal Shantadurga,850,2.6,Cr,Dadar East,Ready to move,New,26000000,21666.66667
2,Apartment,Lodha Codename Limited Edition,1278,1.93,Cr,Mulund East,Ready to move,New,19300000,16083.33333
1,Apartment,Royal Heritage,395,17.01,L,Vangani,Under Construction,New,1701000,1417.5
1,Apartment,Allure 36 Allure,420,1.14,Cr,Goregaon West,Under Construction,New,11400000,9500
2,Apartment,Parinee Adney,1200,1.55,Cr,Dahisar,Ready to move,Resale,15500000,12916.66667
3,Apartment,Sharma Bella Vista,1246,2.5,Cr,Powai,Ready to move,Unknown,25000000,20833.33333
2,Apartment,Lodha Woods,966,1.96,Cr,Kandivali East,Under Construction,Unknown,19600000,16333.33333
2,Apartment,Tattva Mittal Amaltas 71,1023,2.47,Cr,Chembur,Under Construction,New,24700000,20583.33333
1,Apartment,Salasar Exotica I,750,65,L,Mira Road East,Ready to move,New,6500000,5416.666667
1,Apartment,Arihant Aspire Phase I,775,70.16,L,Panvel,Under Construction,New,7016000,5846.666667
1,Apartment,G K Mali and C K Mali Durga Imperial,360,31.58,L,Kalyan East,Under Construction,New,3158000,2631.666667
1,Apartment,Lodha Casa Bella Gold,750,36,L,Dombivali,Ready to move,Resale,3600000,3000
1,Apartment,Squarefeet Imperial Square,550,48,L,Thane West,Ready to move,Resale,4800000,4000
2,Apartment,Sheth Irene Wing A Phase 1,1000,1.49,Cr,Malad West,Under Construction,New,14900000,12416.66667
3,Apartment,Reputed Builder Mount Alps A,1255,2.5,Cr,Wadala,Ready to move,Resale,25000000,20833.33333
1,Apartment,Royal Palms Ruby Isle,544,46,L,Goregaon East,Ready to move,Unknown,4600000,3833.333333
1,Apartment,Lodha Crown,322,59.99,L,Thane West,Under Construction,New,5999000,4999.166667
1,Apartment,Greenspace Platinum Oak,550,30,L,Virar,Ready to move,New,3000000,2500
3,Apartment,Concrete Sai Sansar,1985,4.5,Cr,Chembur,Under Construction,New,45000000,37500
4,Apartment,Lodha Sterling,1842,5.66,Cr,Thane West,Under Construction,New,56600000,47166.66667
2,Apartment,MICL Aradhya D And E Tower,715,1.04,Cr,Bhayandar East,Under Construction,New,10400000,8666.666667
1,Apartment,SM And Happy Home Tulsidham CHS,432,1.94,Cr,Ville Parle West,Ready to move,New,19400000,16166.66667
2,Apartment,Varsha Balaji Exotica,1245,2.1,Cr,Koper Khairane,Under Construction,New,21000000,17500
3,Apartment,Chandiwala Pearl Platinum,1250,2.05,Cr,Jogeshwari West,Ready to move,Resale,20500000,17083.33333
2,Apartment,Regency Regency Gardens,1255,1.8,Cr,Kharghar,Ready to move,Resale,18000000,15000
1,Apartment,Integrated Kamal,465,1.18,Cr,Mulund West,Ready to move,New,11800000,9833.333333
